MV1_DATE,TERM,Mid_Market_Rate
4/29/26,1W,3.642
4/29/26,2W,3.643
4/29/26,3W,3.644
4/29/26,1M,3.646
4/29/26,2M,3.655
4/29/26,3M,3.666
4/29/26,4M,3.673
4/29/26,5M,3.681
4/29/26,6M,3.689
4/29/26,9M,3.72
4/29/26,1Y,3.76
4/29/26,18M,3.772
4/29/26,2Y,3.761
4/29/26,3Y,3.726
4/29/26,5Y,3.752
4/29/26,10Y,3.96
4/29/26,20Y,4.232
4/29/26,30Y,4.196
4/28/26,ON,3.64
4/28/26,1W,3.651
4/28/26,2W,3.648
4/28/26,3W,3.648
4/28/26,1M,3.649
4/28/26,2M,3.656
4/28/26,3M,3.664
4/28/26,4M,3.667
4/28/26,5M,3.671
4/28/26,6M,3.675
4/28/26,9M,3.689
4/28/26,1Y,3.707
4/28/26,18M,3.688
4/28/26,2Y,3.669
4/28/26,3Y,3.64
4/28/26,5Y,3.676
4/28/26,10Y,3.903
4/28/26,20Y,4.188
4/28/26,30Y,4.162
4/27/26,ON,3.66
4/27/26,1W,3.649
4/27/26,2W,3.649
4/27/26,3W,3.649
4/27/26,1M,3.651
4/27/26,2M,3.657
4/27/26,3M,3.663
4/27/26,4M,3.666
4/27/26,5M,3.669
4/27/26,6M,3.672
4/27/26,9M,3.679
4/27/26,1Y,3.688
4/27/26,18M,3.655
4/27/26,2Y,3.627
4/27/26,3Y,3.599
4/27/26,5Y,3.644
4/27/26,10Y,3.891
4/27/26,20Y,4.188
4/27/26,30Y,4.167
4/24/26,ON,3.66
4/24/26,1W,3.653
4/24/26,2W,3.653
4/24/26,3W,3.654
4/24/26,1M,3.656
4/24/26,2M,3.661
4/24/26,3M,3.667
4/24/26,4M,3.667
4/24/26,5M,3.668
4/24/26,6M,3.667
4/24/26,9M,3.666
4/24/26,1Y,3.67
4/24/26,18M,3.631
4/24/26,2Y,3.603
4/24/26,3Y,3.574
4/24/26,5Y,3.617
4/24/26,10Y,3.865
4/24/26,20Y,4.162
4/24/26,30Y,4.139
4/23/26,ON,3.65
4/23/26,1W,3.652
4/23/26,2W,3.653
4/23/26,3W,3.654
4/23/26,1M,3.655
4/23/26,2M,3.662
4/23/26,3M,3.669
4/23/26,4M,3.673
4/23/26,5M,3.677
4/23/26,6M,3.68
4/23/26,9M,3.69
4/23/26,1Y,3.704
4/23/26,18M,3.674
4/23/26,2Y,3.645
4/23/26,3Y,3.608
4/23/26,5Y,3.646
4/23/26,10Y,3.876
4/23/26,20Y,4.164
4/23/26,30Y,4.141
4/22/26,ON,3.64
4/22/26,1W,3.643
4/22/26,2W,3.647
4/22/26,3W,3.65
4/22/26,1M,3.653
4/22/26,2M,3.659
4/22/26,3M,3.666
4/22/26,4M,3.671
4/22/26,5M,3.675
4/22/26,6M,3.679
4/22/26,9M,3.685
4/22/26,1Y,3.691
4/22/26,18M,3.648
4/22/26,2Y,3.613
4/22/26,3Y,3.576
4/22/26,5Y,3.612
4/22/26,10Y,3.851
4/22/26,20Y,4.148
4/22/26,30Y,4.129
4/21/26,ON,3.63
4/21/26,1W,3.63
4/21/26,2W,3.643
4/21/26,3W,3.647
4/21/26,1M,3.651
4/21/26,2M,3.658
4/21/26,3M,3.666
4/21/26,4M,3.672
4/21/26,5M,3.676
4/21/26,6M,3.679
4/21/26,9M,3.684
4/21/26,1Y,3.687
4/21/26,18M,3.637
4/21/26,2Y,3.6
4/21/26,3Y,3.562
4/21/26,5Y,3.603
4/21/26,10Y,3.847
4/21/26,20Y,4.15
4/21/26,30Y,4.132
4/20/26,ON,3.63
4/20/26,1W,3.635
4/20/26,2W,3.641
4/20/26,3W,3.645
4/20/26,1M,3.647
4/20/26,2M,3.655
4/20/26,3M,3.664
4/20/26,4M,3.668
4/20/26,5M,3.67
4/20/26,6M,3.669
4/20/26,9M,3.659
4/20/26,1Y,3.648
4/20/26,18M,3.583
4/20/26,2Y,3.539
4/20/26,3Y,3.501
4/20/26,5Y,3.55
4/20/26,10Y,3.817
4/20/26,20Y,4.136
4/20/26,30Y,4.125
4/17/26,ON,3.65
4/17/26,1W,3.639
4/17/26,2W,3.646
4/17/26,3W,3.648
4/17/26,1M,3.651
4/17/26,2M,3.657
4/17/26,3M,3.664
4/17/26,4M,3.664
4/17/26,5M,3.665
4/17/26,6M,3.662
4/17/26,9M,3.648
4/17/26,1Y,3.637
4/17/26,18M,3.571
4/17/26,2Y,3.529
4/17/26,3Y,3.492
4/17/26,5Y,3.543
4/17/26,10Y,3.819
4/17/26,20Y,4.144
4/17/26,30Y,4.135
4/16/26,ON,3.67
4/16/26,1W,3.64
4/16/26,2W,3.649
4/16/26,3W,3.651
4/16/26,1M,3.653
4/16/26,2M,3.661
4/16/26,3M,3.67
4/16/26,4M,3.674
4/16/26,5M,3.678
4/16/26,6M,3.681
4/16/26,9M,3.686
4/16/26,1Y,3.688
4/16/26,18M,3.641
4/16/26,2Y,3.604
4/16/26,3Y,3.563
4/16/26,5Y,3.608
4/16/26,10Y,3.866
4/16/26,20Y,4.177
4/16/26,30Y,4.162
4/15/26,ON,3.72
4/15/26,1W,3.638
4/15/26,2W,3.652
4/15/26,3W,3.654
4/15/26,1M,3.656
4/15/26,2M,3.662
4/15/26,3M,3.673
4/15/26,4M,3.679
4/15/26,5M,3.683
4/15/26,6M,3.686
4/15/26,9M,3.689
4/15/26,1Y,3.688
4/15/26,18M,3.633
4/15/26,2Y,3.593
4/15/26,3Y,3.55
4/15/26,5Y,3.591
4/15/26,10Y,3.839
4/15/26,20Y,4.144
4/15/26,30Y,4.127
4/14/26,ON,3.66
4/14/26,1W,3.662
4/14/26,2W,3.667
4/14/26,3W,3.665
4/14/26,1M,3.666
4/14/26,2M,3.67
4/14/26,3M,3.678
4/14/26,4M,3.682
4/14/26,5M,3.686
4/14/26,6M,3.689
4/14/26,9M,3.691
4/14/26,1Y,3.688
4/14/26,18M,3.628
4/14/26,2Y,3.58
4/14/26,3Y,3.531
4/14/26,5Y,3.567
4/14/26,10Y,3.818
4/14/26,20Y,4.126
4/14/26,30Y,4.111
4/13/26,ON,3.63
4/13/26,1W,3.659
4/13/26,2W,3.664
4/13/26,3W,3.664
4/13/26,1M,3.664
4/13/26,2M,3.668
4/13/26,3M,3.677
4/13/26,4M,3.683
4/13/26,5M,3.686
4/13/26,6M,3.69
4/13/26,9M,3.695
4/13/26,1Y,3.696
4/13/26,18M,3.645
4/13/26,2Y,3.604
4/13/26,3Y,3.562
4/13/26,5Y,3.602
4/13/26,10Y,3.849
4/13/26,20Y,4.148
4/13/26,30Y,4.129
4/10/26,ON,3.61
4/10/26,1W,3.645
4/10/26,2W,3.649
4/10/26,3W,3.652
4/10/26,1M,3.655
4/10/26,2M,3.663
4/10/26,3M,3.673
4/10/26,4M,3.681
4/10/26,5M,3.687
4/10/26,6M,3.693
4/10/26,9M,3.705
4/10/26,1Y,3.71
4/10/26,18M,3.661
4/10/26,2Y,3.621
4/10/26,3Y,3.582
4/10/26,5Y,3.623
4/10/26,10Y,3.869
4/10/26,20Y,4.164
4/10/26,30Y,4.138
4/9/26,ON,3.57
4/9/26,1W,3.638
4/9/26,2W,3.64
4/9/26,3W,3.644
4/9/26,1M,3.649
4/9/26,2M,3.66
4/9/26,3M,3.668
4/9/26,4M,3.675
4/9/26,5M,3.68
4/9/26,6M,3.686
4/9/26,9M,3.696
4/9/26,1Y,3.698
4/9/26,18M,3.647
4/9/26,2Y,3.607
4/9/26,3Y,3.566
4/9/26,5Y,3.602
4/9/26,10Y,3.847
4/9/26,20Y,4.148
4/9/26,30Y,4.128
4/8/26,ON,3.59
4/8/26,1W,3.637
4/8/26,2W,3.644
4/8/26,3W,3.648
4/8/26,1M,3.653
4/8/26,2M,3.662
4/8/26,3M,3.671
4/8/26,4M,3.679
4/8/26,5M,3.687
4/8/26,6M,3.695
4/8/26,9M,3.708
4/8/26,1Y,3.712
4/8/26,18M,3.661
4/8/26,2Y,3.618
4/8/26,3Y,3.573
4/8/26,5Y,3.604
4/8/26,10Y,3.843
4/8/26,20Y,4.14
4/8/26,30Y,4.114
4/7/26,ON,3.62
4/7/26,1W,3.647
4/7/26,2W,3.65
4/7/26,3W,3.652
4/7/26,1M,3.658
4/7/26,2M,3.668
4/7/26,3M,3.676
4/7/26,4M,3.683
4/7/26,5M,3.688
4/7/26,6M,3.696
4/7/26,9M,3.717
4/7/26,1Y,3.729
4/7/26,18M,3.692
4/7/26,2Y,3.656
4/7/26,3Y,3.617
4/7/26,5Y,3.65
4/7/26,10Y,3.883
4/7/26,20Y,4.165
4/7/26,30Y,4.13
4/6/26,ON,3.65
4/6/26,1W,3.639
4/6/26,2W,3.65
4/6/26,3W,3.654
4/6/26,1M,3.66
4/6/26,2M,3.669
4/6/26,3M,3.677
4/6/26,4M,3.684
4/6/26,5M,3.691
4/6/26,6M,3.7
4/6/26,9M,3.728
4/6/26,1Y,3.745
4/6/26,18M,3.712
4/6/26,2Y,3.673
4/6/26,3Y,3.631
4/6/26,5Y,3.661
4/6/26,10Y,3.885
4/6/26,20Y,4.153
4/6/26,30Y,4.108
4/3/26,ON,3.66
4/3/26,1W,3.643
4/3/26,2W,3.651
4/3/26,3W,3.654
4/3/26,1M,3.66
4/3/26,2M,3.67
4/3/26,3M,3.676
4/3/26,4M,3.682
4/3/26,5M,3.688
4/3/26,6M,3.696
4/3/26,9M,3.72
4/3/26,1Y,3.736
4/3/26,18M,3.706
4/3/26,2Y,3.673
4/3/26,3Y,3.633
4/3/26,5Y,3.665
4/3/26,10Y,3.891
4/3/26,20Y,4.164
4/3/26,30Y,4.122
4/2/26,ON,3.66
4/2/26,1W,3.641
4/2/26,2W,3.649
4/2/26,3W,3.652
4/2/26,1M,3.658
4/2/26,2M,3.668
4/2/26,3M,3.673
4/2/26,4M,3.678
4/2/26,5M,3.681
4/2/26,6M,3.686
4/2/26,9M,3.701
4/2/26,1Y,3.707
4/2/26,18M,3.664
4/2/26,2Y,3.628
4/2/26,3Y,3.589
4/2/26,5Y,3.63
4/2/26,10Y,3.863
4/2/26,20Y,4.144
4/2/26,30Y,4.105
4/1/26,ON,3.65
4/1/26,1W,3.641
4/1/26,2W,3.649
4/1/26,3W,3.652
4/1/26,1M,3.658
4/1/26,2M,3.669
4/1/26,3M,3.675
4/1/26,4M,3.68
4/1/26,5M,3.683
4/1/26,6M,3.688
4/1/26,9M,3.7
4/1/26,1Y,3.705
4/1/26,18M,3.662
4/1/26,2Y,3.628
4/1/26,3Y,3.591
4/1/26,5Y,3.637
4/1/26,10Y,3.869
4/1/26,20Y,4.158
4/1/26,30Y,4.123
3/31/26,ON,3.68
3/31/26,1W,3.649
3/31/26,2W,3.652
3/31/26,3W,3.654
3/31/26,1M,3.658
3/31/26,2M,3.668
3/31/26,3M,3.675
3/31/26,4M,3.679
3/31/26,5M,3.681
3/31/26,6M,3.686
3/31/26,9M,3.701
3/31/26,1Y,3.709
3/31/26,18M,3.669
3/31/26,2Y,3.627
3/31/26,3Y,3.581
3/31/26,5Y,3.617
3/31/26,10Y,3.852
3/31/26,20Y,4.145
3/31/26,30Y,4.11
3/30/26,ON,3.63
3/30/26,1W,3.661
3/30/26,2W,3.662
3/30/26,3W,3.664
3/30/26,1M,3.665
3/30/26,2M,3.675
3/30/26,3M,3.681
3/30/26,4M,3.688
3/30/26,5M,3.691
3/30/26,6M,3.697
3/30/26,9M,3.718
3/30/26,1Y,3.729
3/30/26,18M,3.69
3/30/26,2Y,3.649
3/30/26,3Y,3.605
3/30/26,5Y,3.645
3/30/26,10Y,3.876
3/30/26,20Y,4.156
3/30/26,30Y,4.112
3/27/26,ON,3.63
3/27/26,1W,3.666
3/27/26,2W,3.664
3/27/26,3W,3.664
3/27/26,1M,3.665
3/27/26,2M,3.678
3/27/26,3M,3.689
3/27/26,4M,3.7
3/27/26,5M,3.709
3/27/26,6M,3.72
3/27/26,9M,3.759
3/27/26,1Y,3.786
3/27/26,18M,3.762
3/27/26,2Y,3.724
3/27/26,3Y,3.68
3/27/26,5Y,3.722
3/27/26,10Y,3.954
3/27/26,20Y,4.214
3/27/26,30Y,4.163
3/26/26,ON,3.65
3/26/26,1W,3.675
3/26/26,2W,3.673
3/26/26,3W,3.673
3/26/26,1M,3.674
3/26/26,2M,3.688
3/26/26,3M,3.702
3/26/26,4M,3.718
3/26/26,5M,3.735
3/26/26,6M,3.751
3/26/26,9M,3.804
3/26/26,1Y,3.843
3/26/26,18M,3.831
3/26/26,2Y,3.792
3/26/26,3Y,3.734
3/26/26,5Y,3.753
3/26/26,10Y,3.935
3/26/26,20Y,4.181
3/26/26,30Y,4.124
3/25/26,ON,3.64
3/25/26,1W,3.675
3/25/26,2W,3.673
3/25/26,3W,3.673
3/25/26,1M,3.674
3/25/26,2M,3.689
3/25/26,3M,3.701
3/25/26,4M,3.713
3/25/26,5M,3.722
3/25/26,6M,3.733
3/25/26,9M,3.767
3/25/26,1Y,3.789
3/25/26,18M,3.751
3/25/26,2Y,3.701
3/25/26,3Y,3.636
3/25/26,5Y,3.653
3/25/26,10Y,3.864
3/25/26,20Y,4.143
3/25/26,30Y,4.102
3/24/26,ON,3.63
3/24/26,1W,3.677
3/24/26,2W,3.675
3/24/26,3W,3.675
3/24/26,1M,3.676
3/24/26,2M,3.696
3/24/26,3M,3.709
3/24/26,4M,3.723
3/24/26,5M,3.737
3/24/26,6M,3.752
3/24/26,9M,3.798
3/24/26,1Y,3.828
3/24/26,18M,3.801
3/24/26,2Y,3.755
3/24/26,3Y,3.693
3/24/26,5Y,3.708
3/24/26,10Y,3.912
3/24/26,20Y,4.175
3/24/26,30Y,4.122
3/23/26,ON,3.62
3/23/26,1W,3.682
3/23/26,2W,3.678
3/23/26,3W,3.678
3/23/26,1M,3.679
3/23/26,2M,3.695
3/23/26,3M,3.706
3/23/26,4M,3.715
3/23/26,5M,3.721
3/23/26,6M,3.727
3/23/26,9M,3.75
3/23/26,1Y,3.761
3/23/26,18M,3.718
3/23/26,2Y,3.663
3/23/26,3Y,3.607
3/23/26,5Y,3.643
3/23/26,10Y,3.872
3/23/26,20Y,4.147
3/23/26,30Y,4.1
3/20/26,ON,3.62
3/20/26,1W,3.672
3/20/26,2W,3.678
3/20/26,3W,3.678
3/20/26,1M,3.679
3/20/26,2M,3.703
3/20/26,3M,3.716
3/20/26,4M,3.727
3/20/26,5M,3.736
3/20/26,6M,3.746
3/20/26,9M,3.785
3/20/26,1Y,3.81
3/20/26,18M,3.783
3/20/26,2Y,3.736
3/20/26,3Y,3.676
3/20/26,5Y,3.698
3/20/26,10Y,3.909
3/20/26,20Y,4.173
3/20/26,30Y,4.125
3/19/26,ON,3.62
3/19/26,1W,3.672
3/19/26,2W,3.678
3/19/26,3W,3.678
3/19/26,1M,3.679
3/19/26,2M,3.695
3/19/26,3M,3.705
3/19/26,4M,3.713
3/19/26,5M,3.721
3/19/26,6M,3.728
3/19/26,9M,3.748
3/19/26,1Y,3.759
3/19/26,18M,3.712
3/19/26,2Y,3.662
3/19/26,3Y,3.595
3/19/26,5Y,3.606
3/19/26,10Y,3.81
3/19/26,20Y,4.076
3/19/26,30Y,4.038
3/18/26,ON,3.62
3/18/26,1W,3.668
3/18/26,2W,3.674
3/18/26,3W,3.674
3/18/26,1M,3.675
3/18/26,2M,3.683
3/18/26,3M,3.691
3/18/26,4M,3.692
3/18/26,5M,3.69
3/18/26,6M,3.689
3/18/26,9M,3.677
3/18/26,1Y,3.664
3/18/26,18M,3.598
3/18/26,2Y,3.557
3/18/26,3Y,3.508
3/18/26,5Y,3.543
3/18/26,10Y,3.785
3/18/26,20Y,4.089
3/18/26,30Y,4.07
3/17/26,ON,3.65
3/17/26,1W,3.669
3/17/26,2W,3.682
3/17/26,3W,3.678
3/17/26,1M,3.676
3/17/26,2M,3.681
3/17/26,3M,3.687
3/17/26,4M,3.682
3/17/26,5M,3.675
3/17/26,6M,3.668
3/17/26,9M,3.639
3/17/26,1Y,3.613
3/17/26,18M,3.534
3/17/26,2Y,3.491
3/17/26,3Y,3.442
3/17/26,5Y,3.481
3/17/26,10Y,3.744
3/17/26,20Y,4.07
3/17/26,30Y,4.061
3/16/26,ON,3.7
3/16/26,1W,3.665
3/16/26,2W,3.673
3/16/26,3W,3.673
3/16/26,1M,3.674
3/16/26,2M,3.679
3/16/26,3M,3.685
3/16/26,4M,3.68
3/16/26,5M,3.673
3/16/26,6M,3.667
3/16/26,9M,3.642
3/16/26,1Y,3.617
3/16/26,18M,3.542
3/16/26,2Y,3.499
3/16/26,3Y,3.454
3/16/26,5Y,3.495
3/16/26,10Y,3.756
3/16/26,20Y,4.069
3/16/26,30Y,4.056
3/13/26,ON,3.65
3/13/26,1W,3.668
3/13/26,2W,3.675
3/13/26,3W,3.678
3/13/26,1M,3.681
3/13/26,2M,3.685
3/13/26,3M,3.688
3/13/26,4M,3.683
3/13/26,5M,3.678
3/13/26,6M,3.673
3/13/26,9M,3.656
3/13/26,1Y,3.641
3/13/26,18M,3.584
3/13/26,2Y,3.552
3/13/26,3Y,3.513
3/13/26,5Y,3.552
3/13/26,10Y,3.801
3/13/26,20Y,4.097
3/13/26,30Y,4.076
3/12/26,ON,3.65
3/12/26,1W,3.663
3/12/26,2W,3.673
3/12/26,3W,3.677
3/12/26,1M,3.681
3/12/26,2M,3.685
3/12/26,3M,3.688
3/12/26,4M,3.685
3/12/26,5M,3.681
3/12/26,6M,3.678
3/12/26,9M,3.669
3/12/26,1Y,3.661
3/12/26,18M,3.609
3/12/26,2Y,3.579
3/12/26,3Y,3.535
3/12/26,5Y,3.565
3/12/26,10Y,3.795
3/12/26,20Y,4.086
3/12/26,30Y,4.066
3/11/26,ON,3.64
3/11/26,1W,3.668
3/11/26,2W,3.669
3/11/26,3W,3.671
3/11/26,1M,3.673
3/11/26,2M,3.673
3/11/26,3M,3.673
3/11/26,4M,3.663
3/11/26,5M,3.653
3/11/26,6M,3.642
3/11/26,9M,3.605
3/11/26,1Y,3.575
3/11/26,18M,3.493
3/11/26,2Y,3.452
3/11/26,3Y,3.415
3/11/26,5Y,3.469
3/11/26,10Y,3.744
3/11/26,20Y,4.068
3/11/26,30Y,4.063
3/10/26,ON,3.64
3/10/26,1W,3.671
3/10/26,2W,3.671
3/10/26,3W,3.671
3/10/26,1M,3.673
3/10/26,2M,3.673
3/10/26,3M,3.671
3/10/26,4M,3.658
3/10/26,5M,3.644
3/10/26,6M,3.629
3/10/26,9M,3.575
3/10/26,1Y,3.532
3/10/26,18M,3.436
3/10/26,2Y,3.395
3/10/26,3Y,3.363
3/10/26,5Y,3.424
3/10/26,10Y,3.699
3/10/26,20Y,4.025
3/10/26,30Y,4.02
3/9/26,ON,3.65
3/9/26,1W,3.661
3/9/26,2W,3.666
3/9/26,3W,3.669
3/9/26,1M,3.677
3/9/26,2M,3.677
3/9/26,3M,3.674
3/9/26,4M,3.664
3/9/26,5M,3.652
3/9/26,6M,3.639
3/9/26,9M,3.593
3/9/26,1Y,3.552
3/9/26,18M,3.459
3/9/26,2Y,3.413
3/9/26,3Y,3.376
3/9/26,5Y,3.433
3/9/26,10Y,3.685
3/9/26,20Y,3.987
3/9/26,30Y,3.966
3/6/26,ON,3.65
3/6/26,1W,3.664
3/6/26,2W,3.665
3/6/26,3W,3.665
3/6/26,1M,3.672
3/6/26,2M,3.668
3/6/26,3M,3.663
3/6/26,4M,3.651
3/6/26,5M,3.637
3/6/26,6M,3.621
3/6/26,9M,3.565
3/6/26,1Y,3.518
3/6/26,18M,3.421
3/6/26,2Y,3.378
3/6/26,3Y,3.347
3/6/26,5Y,3.409
3/6/26,10Y,3.671
3/6/26,20Y,3.983
3/6/26,30Y,3.968
3/5/26,ON,3.66
3/5/26,1W,3.662
3/5/26,2W,3.663
3/5/26,3W,3.662
3/5/26,1M,3.669
3/5/26,2M,3.668
3/5/26,3M,3.668
3/5/26,4M,3.662
3/5/26,5M,3.653
3/5/26,6M,3.642
3/5/26,9M,3.598
3/5/26,1Y,3.556
3/5/26,18M,3.46
3/5/26,2Y,3.417
3/5/26,3Y,3.383
3/5/26,5Y,3.438
3/5/26,10Y,3.69
3/5/26,20Y,3.992
3/5/26,30Y,3.978
3/4/26,ON,3.67
3/4/26,1W,3.667
3/4/26,2W,3.667
3/4/26,3W,3.666
3/4/26,1M,3.673
3/4/26,2M,3.672
3/4/26,3M,3.671
3/4/26,4M,3.664
3/4/26,5M,3.654
3/4/26,6M,3.639
3/4/26,9M,3.584
3/4/26,1Y,3.53
3/4/26,18M,3.417
3/4/26,2Y,3.365
3/4/26,3Y,3.321
3/4/26,5Y,3.378
3/4/26,10Y,3.645
3/4/26,20Y,3.97
3/4/26,30Y,3.969
3/3/26,ON,3.7
3/3/26,1W,3.663
3/3/26,2W,3.666
3/3/26,3W,3.667
3/3/26,1M,3.675
3/3/26,2M,3.675
3/3/26,3M,3.67
3/3/26,4M,3.659
3/3/26,5M,3.646
3/3/26,6M,3.625
3/3/26,9M,3.562
3/3/26,1Y,3.503
3/3/26,18M,3.381
3/3/26,2Y,3.324
3/3/26,3Y,3.28
3/3/26,5Y,3.34
3/3/26,10Y,3.62
3/3/26,20Y,3.953
3/3/26,30Y,3.955
3/2/26,ON,3.71
3/2/26,1W,3.662
3/2/26,2W,3.662
3/2/26,3W,3.663
3/2/26,1M,3.671
3/2/26,2M,3.672
3/2/26,3M,3.668
3/2/26,4M,3.656
3/2/26,5M,3.642
3/2/26,6M,3.622
3/2/26,9M,3.551
3/2/26,1Y,3.485
3/2/26,18M,3.36
3/2/26,2Y,3.307
3/2/26,3Y,3.27
3/2/26,5Y,3.334
3/2/26,10Y,3.618
